cbsa_code,cbsa_title,metro_area,county_fips,county_name
24060,"Glenwood Springs, CO",0,08097,"Pitkin County, Colorado"
24100,"Gloversville, NY",0,36035,"Fulton County, New York"
24140,"Goldsboro, NC",1,37191,"Wayne County, North Carolina"
24180,"Granbury, TX",0,48221,"Hood County, Texas"
24220,"Grand Forks, ND-MN",1,27119,"Polk County, Minnesota"
24220,"Grand Forks, ND-MN",1,38035,"Grand Forks County, North Dakota"
24260,"Grand Island, NE",1,31079,"Hall County, Nebraska"
24260,"Grand Island, NE",1,31093,"Howard County, Nebraska"
24260,"Grand Island, NE",1,31121,"Merrick County, Nebraska"
24300,"Grand Junction, CO",1,08077,"Mesa County, Colorado"
24330,"Grand Rapids, MN",0,27061,"Itasca County, Minnesota"
24340,"Grand Rapids-Kentwood, MI",1,26067,"Ionia County, Michigan"
24340,"Grand Rapids-Kentwood, MI",1,26081,"Kent County, Michigan"
24340,"Grand Rapids-Kentwood, MI",1,26117,"Montcalm County, Michigan"
24340,"Grand Rapids-Kentwood, MI",1,26139,"Ottawa County, Michigan"
24380,"Grants, NM",0,35006,"Cibola County, New Mexico"
24420,"Grants Pass, OR",1,41033,"Josephine County, Oregon"
24460,"Great Bend, KS",0,20009,"Barton County, Kansas"
24500,"Great Falls, MT",1,30013,"Cascade County, Montana"
24540,"Greeley, CO",1,08123,"Weld County, Colorado"
24580,"Green Bay, WI",1,55009,"Brown County, Wisconsin"
